"person_age";"person_income";"person_emp_length";"person_home_ownership";"loan_intent";"loan_grade";"loan_amnt";"loan_int_rate";"loan_status";"loan_percent_income";"cb_person_default_on_file";"cb_person_cred_hist_length"
33;48000;17.0;"Rent";"Debtconsolidation";"B";3500;11.86;0;0.07;"N";10
22;51000;6.0;"Rent";"Personal";"A";7500;5.99;0;0.15;"N";2
23;85000;2.0;"Rent";"Medical";"B";9600;10.99;0;0.11;"N";4
27;50000;5.0;"Rent";"Venture";"B";12000;10.37;0;0.24;"N";9
22;60000;0.0;"Rent";"Education";"A";6025;0.0;0;0.1;"N";4
21;27000;5.0;"Rent";"Medical";"D";4000;15.58;1;0.15;"Y";2
21;45000;4.0;"Mortgage";"Education";"A";5000;7.14;0;0.11;"N";4
0;45000;3.0;"";"Education";"B";16000;11.71;1;0.38;"N";3
30;100000;13.0;"Rent";"Debtconsolidation";"A";12000;7.88;0;0.12;"N";9
28;83000;6.0;"Mortgage";"Debtconsolidation";"B";5000;0.0;0;0.06;"N";9
29;150000;14.0;"Mortgage";"Venture";"A";12000;5.42;0;0.08;"N";9
27;37000;0.0;"Rent";"Medical";"B";9000;11.11;0;0.24;"N";5
25;42000;3.0;"Rent";"Venture";"A";18000;6.17;1;0.43;"N";2
25;55000;1.0;"Own";"Personal";"C";6000;15.23;0;0.11;"Y";3
24;62400;8.0;"Rent";"Venture";"B";20000;11.12;1;0.32;"N";2
24;40000;3.0;"Mortgage";"Venture";"B";10500;11.36;0;0.26;"N";4
25;24000;0.0;"Mortgage";"Debtconsolidation";"C";6000;13.49;0;0.25;"Y";3
26;78000;7.0;"Mortgage";"Venture";"A";7200;6.62;0;0.09;"N";4
28;73073;8.0;"Mortgage";"Venture";"A";4200;5.79;0;0.06;"N";7
35;52000;2.0;"Rent";"Medical";"B";3000;11.48;0;0.06;"N";7
25;31200;9.0;"Own";"Personal";"A";15000;6.03;0;0.48;"N";4
46;80000;8.0;"Mortgage";"Venture";"B";5000;11.86;0;0.06;"N";15
27;110000;3.0;"Mortgage";"Medical";"A";4800;7.74;0;0.04;"N";7
23;57600;3.0;"Rent";"Venture";"D";10000;15.58;0;0.17;"Y";4
23;48000;3.0;"Rent";"Medical";"A";4800;5.42;0;0.1;"N";3
23;98280;7.0;"Mortgage";"Personal";"A";9400;6.62;0;0.1;"N";3
28;30000;0.0;"Rent";"Personal";"B";8400;11.89;0;0.28;"N";10
31;37000;12.0;"Mortgage";"Debtconsolidation";"C";22000;12.73;0;0.59;"Y";7
22;21600;5.0;"Own";"Personal";"A";5000;7.9;0;0.23;"N";3
27;64000;3.0;"Rent";"Personal";"A";3600;7.49;1;0.06;"N";5
23;60000;2.0;"Own";"Medical";"D";18500;15.33;0;0.31;"N";2
22;50000;6.0;"Mortgage";"Venture";"A";7800;6.62;0;0.16;"N";2
31;47000;10.0;"Mortgage";"Venture";"D";23000;14.84;1;0.49;"N";9
24;39000;0.0;"Rent";"Medical";"D";3000;14.61;1;0.08;"Y";4
22;32000;2.0;"Rent";"Venture";"C";10000;13.22;1;0.31;"N";3
33;59000;17.0;"Rent";"Medical";"B";9600;9.91;0;0.16;"N";8
25;65000;3.0;"Rent";"Personal";"D";18000;15.33;1;0.28;"N";4
24;70000;4.0;"Mortgage";"Education";"B";21000;11.99;0;0.3;"N";4
33;34000;8.0;"Mortgage";"Homeimprovement";"D";4750;0.0;0;0.12;"N";3
33;56400;3.0;"Mortgage";"Education";"B";8500;12.42;1;0.15;"N";6
24;88000;2.0;"Mortgage";"Personal";"A";8000;5.99;0;0.09;"N";4
25;75600;7.0;"Mortgage";"Medical";"C";15000;12.68;0;0.2;"N";2
28;20292;3.0;"Rent";"Venture";"B";3900;12.53;0;0.19;"N";9
33;59000;6.0;"Mortgage";"Homeimprovement";"B";5500;9.91;0;0.09;"N";9
29;57600;1.0;"Rent";"Education";"B";21000;9.99;0;0.15;"";16
23;45000;2.0;"Mortgage";"Debtconsolidation";"A";6000;7.49;0;0.13;"N";3
36;42000;1.0;"Rent";"Education";"A";21000;7.49;1;0.5;"N";11
31;64900;2.0;"Rent";"Medical";"A";10000;7.66;0;0.15;"N";5
21;65000;5.0;"Mortgage";"Debtconsolidation";"B";2200;12.42;0;0.03;"N";3
53;85000;2.0;"Rent";"Personal";"A";8000;7.74;0;0.09;"N";26
23;25596;2.0;"Rent";"Medical";"B";4500;9.99;0;0.18;"N";4
22;50000;7.0;"Rent";"Medical";"A";4000;7.4;0;0.08;"N";2
22;29004;6.0;"Mortgage";"Education";"A";2500;6.91;0;0.09;"N";3
22;41000;2.0;"Rent";"Debtconsolidation";"D";3600;16.77;1;0.09;"Y";3
31;75000;5.0;"Rent";"Debtconsolidation";"B";15000;12.69;0;0.2;"N";5
30;34046;2.0;"Rent";"Medical";"D";12000;14.96;1;0.35;"Y";6
26;27000;0.0;"Mortgage";"Debtconsolidation";"A";3000;5.79;0;0.11;"N";3
24;30000;2.0;"Rent";"Debtconsolidation";"C";3350;14.72;0;0.11;"Y";2
33;38400;6.0;"Rent";"Medical";"B";10500;11.99;0;0.27;"N";8
40;81120;1.0;"Mortgage";"Education";"B";24000;9.25;0;0.3;"N";15
22;71500;2.0;"Rent";"Education";"C";6400;13.11;0;0.09;"Y";2
29;105000;11.0;"Mortgage";"Homeimprovement";"D";15000;14.42;0;0.14;"Y";5
28;62000;4.0;"Rent";"Personal";"C";7200;12.99;0;0.12;"Y";9
27;32500;3.0;"Own";"Personal";"A";5000;6.62;0;0.15;"N";8
26;85000;8.0;"Mortgage";"Medical";"A";15000;7.88;0;0.18;"N";4
35;273700;8.0;"Mortgage";"Medical";"D";25000;14.59;1;0.08;"N";6
24;61200;8.0;"Mortgage";"Education";"C";2500;0.0;1;0.04;"N";4
22;21120;3.0;"Mortgage";"Debtconsolidation";"D";1625;16.89;1;0.08;"Y";3
29;35000;1.0;"Rent";"Debtconsolidation";"A";10625;7.9;0;0.3;"N";8
43;60000;27.0;"Mortgage";"Homeimprovement";"B";10000;9.88;0;0.17;"N";16
24;49232;8.0;"Rent";"Education";"A";8500;6.54;0;0.17;"N";4
24;80400;5.0;"Mortgage";"Personal";"A";12000;5.79;0;0.15;"N";2
30;54000;9.0;"Rent";"Homeimprovement";"C";15000;14.27;1;0.28;"Y";8
21;18000;2.0;"Rent";"Debtconsolidation";"C";5800;14.72;1;0.32;"Y";4
